# THE SOURCE BAR'S ADJUDICATION TABLE.  barledger.py joins the
# family table from `srcbar.py --tsv` to these rows and REFUSES
# on any family that matches none, on any that matches two, and
# on any row here that matches nothing.
#
# QEMU-STATES-IT  QEMU's translation contains the read and the
#                 extraction does not carry it out -- a defect
#                 with a source site.  A wire change; owes R13.
# RULED           an architectural fact or a standing ruling
#                 says the register is NOT a source, so the arm
#                 that drops it is right.  Needs the ruling AND
#                 the QEMU code AND a whole-population arm.
# BLOCKED         a NAMED question stands in the way.  A
#                 BLOCKED row whose note asks no question is a
#                 refusal, not a row.
#
# class_id	isa	rule_rx	mnem_rx	reg_rx	disposition	citation	note
rv-vector-control	riscv64	^decode_insn32/vset	^vset	^(?!REG_ZERO$)	RULED	target/riscv/insn_trans/trans_rvv.c.inc do_vsetivli -- vsetivli takes BOTH the AVL and the type as IMMEDIATES; note_vector_config_read()'s own header records why vsetvl/vsetvli/vsetivli are excluded from it	WHOLE-POPULATION ARM over all 576 vset* rows: every REG_VCTRL loss is `vsetivli` (192 rows), and `vsetvli` and `vsetvl` lose no REG_VCTRL at all -- the split falls exactly where the immediates do. The new `vl` is a function of AVL, VLMAX and the NEW vtype, none of which is the old vl or the old vtype. The RISC-V V spec's one case where vl is preserved and therefore read is `vsetvli rd=x0, rs1=x0`, a different mnemonic with a different encoding that is not in this class. R7.1: written and not read.
rv-whole-register-group	riscv64	^decode_insn32/v[ls]\d?re?\d*_?v?$	^v[ls]\d*r?e?\d*\.v$	^(?!REG_ZERO$)	RULED	target/riscv/insn_trans/trans_rvv.c.inc ldst_whole_trans() -- the `is_store` arm states every member of the group and the load arm deliberately states none; R7.1	WHOLE-POPULATION ARM, and the class SPLIT with opposite answers: every nf > 1 row loses exactly nf - 1 registers and every nf == 1 row is clean, on both halves. The STORE forms' group members ARE sources and are now stated (this pass). The LOAD forms' members are DESTINATIONS -- Capstone publishes them in the source list because its operand model marks the whole group -- and R7.1 says a destination is not a source, so the drop on this half is RIGHT and stating it would fabricate nf - 1 reads.
rv-amocas-pair	riscv64	^decode_insn32/amocas	^amocas	^(?!REG_ZERO$)	RULED	target/riscv/insn_trans/trans_rvzacas.c.inc trans_amocas_q -- `get_gpr(ctx, a->rd == 0 ? 0 : a->rd + 1, EXT_NONE)`, and `if (a->rd != 0)` guards the pair write, so rd == x0 is the VALUE ZERO on both operands and in both directions	WHOLE-POPULATION ARM: rd == 0 on 100% of the 16 losing encodings, and a probe of rd != 0 shows QEMU states BOTH halves of the pair -- `2f422028` (rd=4, rs2=2) carries REG_GPR4 and REG_GPR5 in QN with nothing lost. THE DESTINATION BAR SETTLES IT: the same reading names REG_LR as a DESTINATION on 32 registers of this family, which would make `amocas.q x0,...` clobber the return-address register. R19 governs a real even-odd pair; this is not one, because with rd == x0 there is no pair. The odd half is the reference's own reading and the drop is RIGHT.
rv-mop-reserved	riscv64	^decode_insn(16|32)/c?_?mop_(r|n)	^c?mop\.	^(?!REG_ZERO$)	RULED	target/riscv/insn_trans/trans_rvzimop.c.inc -- Zimop defines these encodings as writing 0 to x[rd] and defines no dependence on rs1/rs2	WHOLE-POPULATION ARM over all 1,810 mop_* rows: 10 lose anything and 1,800 are clean; the lost sets are REG_GPR5,REG_SSP,REG_SYS on 4 and REG_LR,REG_SSP,REG_SYS on 6. THE ARCHITECTURE DOES THE DROPPING, not the emulator, which is what distinguishes this from every other class here: R7.3 protects a register the encoding names from the EMULATOR's dropping, and there is no ISA-defined dependency for R16 to record. The same reading that made a64-ccond-always RULED. REG_SSP is Zicfiss's reading of the same bytes -- a mnemonic-space collision between two extensions, recorded as a reference reading rather than a QEMU gap.
mips-cond-move	mipsel	^translate_mips/OPC_(MOVCF_[DS]|MOVCI|MOVN_[DS]|MOVZ_[DS])$	^mov[fntz](\.[ds])?$	^(?!REG_ZERO$)	RULED	target/mips/tcg/translate.c gen_movcf_s/gen_movcf_d -- the `if (ft != 0)` guard means the whole body is elided when the condition register is $zero; c6cc55a21f ruled the class and closed 1,376 of its 1,512 registers	WHOLE-POPULATION ARM over the residue: ft == 0 on 100% of the 136 losing encodings (68 movz, 68 movn). With ft == 0 the condition is settled at TRANSLATION time, and a64-ccond-always's ruling applies verbatim -- an operand the surviving arm never uses is not a source. `movz` with $zero always moves, so the destination is overwritten and supplies nothing; `movn` with $zero never moves, so its destination IS the published result and c6cc55a21f states it. The drop on the remaining arm is RIGHT.
mips-dsp	mipsel	^translate_mips/OPC_(ADDU|CMPGU|SHLL|PRECE|PRECR|EXTP|EXTR|EXTRV)	.	^(?!REG_ZERO$)	QEMU-STATES-IT	target/mips/tcg/translate.c, the DSP ASE arms -- the emitters fold operands whose ROLE changes per op2, so the read is in the translation and the extraction does not carry it out; 81def903ea closed the accumulator half	WHOLE-POPULATION ARM over the residue, and it MEASURES the obstacle rather than asserting it: 460 losing rows on 13 mnemonics, and the number of registers lost per row splits by mnemonic exactly where the operand ROLE does -- `shra.qb` and `shll.qb` lose ONE (144 rows) because their third slot is an immediate, while `addu.qb`, `addu_s.qb` and `cmpgu.eq.qb` lose TWO (230 rows) because theirs is a register. The obstacle is NAMED and it is not a question: `shra.qb rd,rt,sa` takes an IMMEDIATE where `addu_s.qb rd,rs,rt` takes a REGISTER in the same slot, so a blanket statement at the decode site would name an immediate as a register. The remedy is the emitters carrying their operand ROLES rather than a second table reconstructing them. A defect with a source site; closing it is a wire change and owes R13 legs.
mips-trap-cond	mipsel	^translate_mips/OPC_T(LT|LTU|NE|LTI|LTIU|NEI)$	^t(lt|ltu|ne|lti|ltiu|nei)$	^(?!REG_ZERO$)	RULED	target/mips/tcg/translate.c gen_trap -- generate_exception() WRITES the exception cause and PC and reads neither; R7.1 at include/exec/insn-dataflow.h	WHOLE-POPULATION ARM over all 75,168 OPC_T* rows of the merged sled: 222 lose anything at all, every one of them loses EXACTLY REG_SYSEXC and nothing else, and they fall in six bins -- tlt, tltu, tne at 72 each and tlti, tltiu, tnei at 2 each, with teq/teqi/tge/tgei/tgeiu/tgeu entirely clean. The comparison operands are in QN on every losing row (`32000000 tlt PUB=REG_ZERO,REG_SYSEXC QN=REG_ZERO`). So the raise-only translation DOES state its comparison inputs, and the only register at issue is the exception state. R7.1: written and not read is not a source. Capstone publishes it because the MIPS instruction description names the exception, the same class of reading a64-ccond-always was RULED against.
mips-pmon-lsa	mipsel	^translate_mips/OPC_PMON$	^lsa$	^(?!REG_ZERO$)	RULED	target/mips/tcg/translate.c OPC_PMON -- gen_helper_pmon(tcg_env, sa), whose only guest-register read is env->active_tc.gpr[4]; SPECIAL function 5 is PMON on this pre-R6 CPU and LSA only on Release 6	WHOLE-POPULATION ARM: 192 of 192 rows of the family carry REG_GPR4 in QN -- the helper's one read and the whole of it -- and every losing row loses a wire-named GPR beside REG_ZERO, never GPR4. Capstone decodes for R6 and names rs and rt -- operands of an instruction THIS MODEL DOES NOT HAVE. Stated as a QEMU-modeling fact and never as tracer scope, which is what the all-MIPS-models ruling requires.
mips-sdbbp	mipsel	^translate_mips/OPC_SDBBP$	^sdbbp$	^(?!REG_ZERO$)	RULED	target/mips/tcg/translate.c OPC_SDBBP -- note_sdbbp_debug_write() states the CP0_Debug write at both sdbbp arms; MIPS EJTAG: SDBBP WRITES Debug.DExcCode and Debug.DM on entry to debug mode	WHOLE-POPULATION ARM: 192 of 192 rows of the family lose EXACTLY REG_SYSDBG, and REG_SYSEXC is already in QN on all 192 -- one bin, no exceptions. The 20-bit `code` field is an IMMEDIATE the debug handler reads out of the instruction word, and the tree has a word for that which is not a register operand (insn_dataflow_note_encoded_imm_value()'s NON_DATAFLOW role). R7.1: the Debug register is written, not read. Its DESTINATION side is a different question and is now ANSWERED: the write this ruling turns on is stated at the sdbbp arms, the destination bar's `mips-sdbbp-dst` is emptied and retired, and the asymmetry the row asserts is a fact QEMU carries rather than one only this table says.
zero-register	*	.	.	^REG_ZERO$	QEMU-STATES-IT	target/arm/tcg/translate-a64.c:738 cpu_reg(), target/mips/tcg/translate.c gen_load_gpr() and target/riscv/translate.c get_gpr() each call insn_dataflow_note_zero_reg() on the fold; 9fa9914421 ruled the WRITE side over 53,931 registers on R15 and R7.3	THE QUESTION IS ANSWERED AND THE ROW IS NOT A QUESTION ANY MORE. `sw $zero,0($a0)` names $zero as its data operand exactly the way it would name $t0, and all three targets say so at their fold sites. WHOLE-POPULATION ARM over what is left, taken per RULE rather than per register because the rule is what the remedy attaches to: every family on the bar is a DECODE RULE THAT RETURNS BEFORE THE FOLD SITE IS REACHED -- the PMON helper never loads rs/rt, gen_cl()'s `if (rd == 0) return`, the SVE scaled increment's elided self-move, the DSP `ret == 0` arms. Not one is the fold failing; each is a rule reaching no fold. A defect with a source site, per rule, and closing each is a wire change that owes R13 legs. SPLIT-ACK, measured at 87e7391a0b: 284 encodings still lose REG_ZERO and QEMU states it on 2,694 encodings of the same families -- the fold notes reach most of the family and not all of it. The residue is a coverage list, not a disposition, and is tracked as such; the row is about the encodings the accessors do not reach.
rv-andi-immediate	riscv64	^decode_insn(16|32)/andi$	^andi$	^(?!REG_ZERO$)	RULED	target/riscv/insn_trans/trans_rvi.c.inc trans_andi -- tcg_gen_andi_tl(dest, src, 0) folds to `movi dest, 0`	WHOLE-POPULATION ARM over all 384 andi/c.andi rows: 12 lose anything (six registers, once per wp arm), every one is `andi` with IMMEDIATE 0, and 372 are clean. The result is the CONSTANT ZERO and the source contributes no bit, which is a64-shift-degenerate-zero's RULED sentence verbatim ('a result that is a CONSTANT has no source') and mips-zero-operand-fold's same ruling on the same operation. ONE ROW IS A REFERENCE DEFECT AND IS RECORDED AS ONE rather than answered with a statement that would agree with it: on 13f00000 the encoding's rs1 is x0 and Capstone publishes REG_LR (x1).
mips-zero-operand-fold	mipsel	^translate_mips/OPC_(AND|MUL)$	^(and|mul)$	^(?!REG_ZERO$)	RULED	target/mips/tcg/translate.c OPC_AND / OPC_MUL -- `if (rs == 0 || rt == 0) insn_dataflow_note_folded_read_zero();` with the comment `and rd,rs,$zero` IS `li rd,0`	WHOLE-POPULATION ARM: rs == 0 on 100% of the 138 losing encodings (69 and, 69 mul). QEMU does not merely happen to be silent here -- it STATES the fold at the decode site, and the value it produces is the constant 0. The other operand contributes no bit to the result and is not a source; Capstone publishes it because the ENCODING names it.
